tweet_id,time,user_id,user_name,follower_count,friends_count,retweet_count,category
5486,4/23/2020,7.72E+17,MumblerAREA,112,439,1,rap
5487,4/23/2020,7.72E+17,MumblerAREA,112,439,2,rap
5488,4/23/2020,562207202,iMusicSuccess,71525,62540,0,rap
5489,4/23/2020,231329778,Grizzlybeatz,110778,1005,0,rap
5490,4/23/2020,1.25E+18,Leviixxx,7,59,0,rap
5491,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5492,4/23/2020,1.23E+18,ReGamertron,928,1,3,rap
5493,4/23/2020,1.25E+18,Mugen66486808,0,7,0,rap
5494,4/23/2020,2251033411,ScarlettFierce,175,158,0,rap
5495,4/23/2020,8.48E+17,Smoothboi_bw,648,1512,12,rap
5496,4/23/2020,1.25E+18,OfficialBRap28,3,48,0,rap
5497,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5498,4/23/2020,2741586298,royallregal,1406,1329,135,rap
5499,4/23/2020,7.77E+17,ActorJude,2026,1773,1,rap
5500,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5501,4/23/2020,1.25E+18,Mugen66486808,0,7,0,rap
5502,4/23/2020,9.30E+17,JohnnyMillion_,830,1356,0,rap
5503,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5504,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5505,4/23/2020,7.71E+17,macandtouch6,71,193,1,rap
5506,4/23/2020,9.09E+17,IsaMem84,843,1693,0,rap
5507,4/23/2020,308653123,iamA1_blaze,436,2218,3,rap
5508,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5509,4/23/2020,9.17E+17,thehot365,104,42,0,rap
5510,4/23/2020,1.21E+18,Prod7OH2,68,613,1,rap
5511,4/23/2020,112954741,ilasaboy_,287,311,0,rap
5512,4/23/2020,1.21E+18,Prod7OH2,68,613,1,rap
5513,4/23/2020,543299925,MuizMasri,251,163,9,rap
5514,4/23/2020,76889442,Sumeshreddiar,399,892,0,rap
5515,4/23/2020,1.19E+18,ShinRatsNoBark,60,102,3,rap
5516,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5517,4/23/2020,9.85E+17,EzeoShop,5385,5785,0,rap
5518,4/23/2020,138146456,Scott_Free973,1352,2635,0,rap
5519,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5520,4/23/2020,1.24E+18,Bhani__,197,555,0,rap
5521,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5522,4/23/2020,272217548,barolo_white,107,2,0,rap
5523,4/23/2020,9.52E+17,BG_DottyMusic,562,701,6,rap
5524,4/23/2020,175066640,MarlonFii,1155,977,13,rap
5525,4/23/2020,8.70E+17,Zachgreene209,460,2562,1,rap
5526,4/23/2020,285365728,effettomusic,106,280,0,rap
